tempo,regiao,encargos_sns_hospitalar
2017-09,Norte,32115459.980000004
2017-10,Centro,17852022.15
2018-10,Algarve,3769136.8
2018-11,Centro,15957930.62
2020-01,Alentejo,3656859.74
2020-03,Norte,45558731.77
2020-06,Centro,18607181.32
2021-04,Algarve,4423037.5
2022-04,Alentejo,3607284.929999999
2022-09,Norte,57287975.139999725
2023-05,Alentejo,4928332.360000007
2024-01,Centro,31147549.290000096
2024-03,Centro,26199182.59
2024-04,Alentejo,5391614.219999997
2024-05,Lisboa e Vale do Tejo,84753051.49000007
2020-08,Lisboa e Vale do Tejo,48425724.41
2021-03,Lisboa e Vale do Tejo,60105113.89
2021-11,Centro,24163407.18
2022-06,Centro,24470394.720000032
2023-01,Centro,27614785.659999978
2024-01,Alentejo,5321111.460000002
2011-08,Algarve,3299500.94
2012-07,Lisboa e Vale do Tejo,40600984.46999999
2013-06,Algarve,2768135.2
2013-10,Centro,14238102.13
2014-01,Centro,13997446.800000004
2014-06,Algarve,2977703.200000001
2015-04,Algarve,3698712.84
2015-11,Lisboa e Vale do Tejo,52358497.28999999
2016-12,Centro,12060933.13000001
2017-08,Lisboa e Vale do Tejo,50013445.0
2017-09,Algarve,3447175.5
2017-10,Alentejo,3460046.930000001
2018-04,Lisboa e Vale do Tejo,47604724.69
2018-07,Alentejo,3320023.1499999994
2018-10,Lisboa e Vale do Tejo,48266322.28
2018-12,Algarve,2714292.2
2019-05,Alentejo,3229629.22
2019-06,Algarve,3599870.01
2019-12,Algarve,1470465.1
2020-03,Algarve,4632813.38
2020-05,Centro,17077494.61
2020-05,Norte,38412420.85
2020-07,Alentejo,3534480.21
2020-11,Centro,20685641.05
2021-12,Centro,19326685.11
2022-10,Algarve,3640639.1600000015
2023-12,Centro,20087181.429999985
2023-12,Lisboa e Vale do Tejo,63534149.98000028
2024-09,Alentejo,5421954.740000005
2024-10,Norte,80029407.23999958
2011-05,Algarve,3470740.18
2011-09,Alentejo,2696257.26
2012-01,Centro,13925492.209999995
2012-03,Centro,15107001.65
2012-06,Alentejo,2576585.41
2012-06,Centro,13396905.430000002
2012-07,Alentejo,2818937.0300000003
2012-09,Algarve,3030415.56
2013-11,Alentejo,2568156.6100000003
2014-01,Norte,27998089.00000001
2014-02,Lisboa e Vale do Tejo,33479677.05000001
2014-07,Algarve,3141075.330000006
2014-12,Centro,13234272.59
2016-03,Alentejo,3325700.55
2016-08,Centro,17826760.87
2017-01,Algarve,4337501.98
2017-03,Algarve,4418994.54
2017-08,Alentejo,2891697.14
2017-12,Centro,14803426.36000001
2017-12,Norte,8927377.089999998
2018-02,Lisboa e Vale do Tejo,47238018.72
2018-06,Norte,36258420.49
2018-11,Algarve,609761.02
2018-12,Norte,8410719.200000001
2019-02,Norte,37038925.58
2019-04,Algarve,4213484.81
2019-10,Algarve,2037158.7
2019-12,Norte,17271870.37
2020-04,Centro,16748256.84
2020-07,Norte,47359209.24
2021-03,Alentejo,3863949.43
2021-04,Alentejo,3606476.76
2021-12,Norte,13104551.2
2022-06,Alentejo,4029141.709999991
2022-08,Alentejo,4261661.500000002
2023-05,Norte,63480958.58999995
2023-06,Algarve,4961179.050000001
2023-06,Norte,58132454.72999999
2023-08,Norte,62694495.12000026
2024-09,Centro,34350384.849999934
2024-12,Centro,22821989.7
2011-04,Lisboa e Vale do Tejo,39670207.77000001
2012-12,Alentejo,2216212.48
2012-12,Centro,13007363.369999995
2013-03,Algarve,3144813.94
2014-04,Norte,27943621.17000001
2014-07,Alentejo,2778196.600000002
2014-09,Lisboa e Vale do Tejo,35927312.89
2014-12,Algarve,3052806.039999995
2015-01,Centro,13788606.84000001
2015-03,Lisboa e Vale do Tejo,42935421.38
2016-09,Algarve,3810198.4
2016-11,Lisboa e Vale do Tejo,51049713.7
2016-12,Alentejo,3184057.66
2017-04,Lisboa e Vale do Tejo,45225218.94
2017-07,Algarve,3283117.59
2017-10,Lisboa e Vale do Tejo,50569340.64
2018-01,Algarve,4597885.11
2018-03,Alentejo,3155876.8600000013
2018-03,Norte,37269531.20000001
2018-07,Lisboa e Vale do Tejo,49416463.50000001
2019-03,Alentejo,3036979.78
2019-11,Alentejo,3346038.75
2020-04,Norte,40250689.46
2011-03,Algarve,3512595.5300000003
2011-04,Centro,13733672.35
2011-08,Centro,14542192.19
2011-09,Algarve,3068758.61
2012-02,Algarve,3269509.89
2012-05,Norte,26621949.390000004
2012-11,Norte,25238853.840000004
2013-05,Centro,14578267.070000002
2015-02,Norte,25897574.29
2015-04,Alentejo,3055706.879999999
2016-06,Alentejo,3386748.64
2016-10,Centro,16577421.489999998
2016-11,Algarve,3124882.61
2017-01,Norte,35295078.120000005
2017-02,Lisboa e Vale do Tejo,44944066.29000001
2018-03,Centro,18919367.8
2019-05,Centro,19875007.19
2019-06,Alentejo,2905364.44
2019-06,Norte,34245064.96
2021-08,Norte,53411266.29
2021-10,Centro,22198795.55
2022-11,Alentejo,4312377.309999999
2023-02,Centro,23867400.23000001
2023-10,Norte,63294695.880000144
2024-03,Norte,60645550.52999989
2024-08,Alentejo,5589744.370000005
2024-11,Lisboa e Vale do Tejo,87043964.90000021
2022-05,Algarve,4592916.969999997
2023-09,Algarve,4016841.019999999
2011-02,Algarve,3277668.06
2011-02,Norte,25979188.479999997
2011-11,Alentejo,2877248.6900000004
2011-12,Centro,13905193.840000002
2012-03,Alentejo,2877870.02
2013-01,Alentejo,2818753.42
2013-01,Algarve,3580096.19
2013-03,Alentejo,2753796.41
2013-07,Centro,14448528.460000005
2013-10,Algarve,2743545.8
2014-01,Algarve,2634824.480000004
2014-08,Lisboa e Vale do Tejo,33762809.139999986
2014-09,Alentejo,2715235.139999998
2015-01,Lisboa e Vale do Tejo,38137161.71
2015-03,Centro,15110427.409999998
2015-07,Norte,34116084.1
2015-08,Lisboa e Vale do Tejo,52570581.28000001
2016-04,Algarve,2250093.89
2016-04,Lisboa e Vale do Tejo,50935770.01
2016-05,Alentejo,3441789.85
2016-10,Lisboa e Vale do Tejo,49823154.54
2017-02,Algarve,3566797.91
2017-07,Alentejo,2940185.18
2018-01,Lisboa e Vale do Tejo,53314670.52
2018-12,Lisboa e Vale do Tejo,40559360.009999976
2019-11,Lisboa e Vale do Tejo,43795139.47
2020-04,Lisboa e Vale do Tejo,46137557.06
2020-10,Lisboa e Vale do Tejo,51618838.39
2020-11,Alentejo,3697345.33
2021-06,Alentejo,3633031.88
2021-07,Norte,51567302.21
2022-11,Norte,54973870.60999997
2022-12,Centro,18517455.000000022
2023-01,Norte,60481739.35999999
2024-02,Algarve,5635243.940000002
2024-07,Alentejo,5803150.829999997
2012-03,Norte,26682798.7
2012-01,Norte,26825543.309999995
2012-06,Lisboa e Vale do Tejo,37669723.04
2012-07,Norte,25885700.76
2012-08,Centro,14053572.660000002
2013-02,Lisboa e Vale do Tejo,37668821.66
2013-11,Lisboa e Vale do Tejo,34813982.37
2014-06,Lisboa e Vale do Tejo,34174903.6
2014-08,Alentejo,2484426.37
2014-09,Centro,14278518.04
2014-10,Lisboa e Vale do Tejo,36255391.79
2015-04,Lisboa e Vale do Tejo,48360163.59
2015-05,Centro,16664466.28
2016-09,Lisboa e Vale do Tejo,50872648.97
2016-12,Norte,25385676.90999999
2017-03,Norte,38829646.83999999
2017-04,Centro,14761510.37000001
2017-05,Algarve,3079560.6
2017-08,Centro,16720177.97999998
2017-09,Centro,16155492.04000001
2019-12,Alentejo,3170997.97
2023-03,Algarve,5487265.98
2024-12,Lisboa e Vale do Tejo,82417954.3699999
2011-02,Centro,13817577.66
2013-07,Algarve,3253862.56
2014-04,Algarve,2853604.060000004
2014-06,Norte,23942957.329999994
2015-07,Algarve,4817193.26
2015-10,Centro,17920506.200000003
2017-05,Lisboa e Vale do Tejo,50714203.56
2017-05,Norte,33590001.230000004
2018-09,Centro,17787726.2
2019-03,Centro,17993035.19
2021-01,Algarve,4132125.3
2021-10,Lisboa e Vale do Tejo,54783717.82
2024-04,Norte,72590008.40999997
2024-05,Algarve,6222246.470000005
2011-05,Norte,27435735.89
2017-11,Lisboa e Vale do Tejo,52063323.12
2018-02,Norte,34693357.29000001
2019-09,Alentejo,3221223.03
2020-09,Algarve,2370412.5
2020-09,Norte,45121379.94
2022-02,Algarve,4407790.549999996
2022-07,Norte,58230084.84999999
2023-06,Alentejo,4605959.240000004
2024-08,Algarve,7031928.029999999
2024-12,Algarve,6540946.950000003
2011-03,Lisboa e Vale do Tejo,42615092.6
2011-12,Norte,25300854.92
2013-04,Norte,24639936.65
2014-10,Alentejo,2819407.6600000006
2015-01,Alentejo,2559295.96
2015-06,Algarve,4189775.55
2016-01,Algarve,4354730.65
2017-11,Centro,18631041.42
2020-02,Centro,18845740.27
2020-10,Centro,21490892.32
2020-12,Norte,17144064.64
2021-11,Algarve,3946461.48
2022-06,Norte,51439001.26000015
2023-09,Centro,27067729.529999945
2024-08,Norte,74350362.77000012
2012-08,Lisboa e Vale do Tejo,39598048.16
2013-05,Norte,26417449.4
2015-06,Centro,19433820.51
2015-08,Centro,16189253.79
2017-02,Centro,15401635.53
2018-09,Algarve,3959053.13
2019-02,Centro,17250286.14
2019-07,Centro,20005698.87
2019-08,Norte,38881987.14
2020-10,Norte,46450095.71
2021-02,Lisboa e Vale do Tejo,48687160.34
2021-06,Algarve,4516059.76
2021-07,Lisboa e Vale do Tejo,59145746.5
2022-03,Lisboa e Vale do Tejo,70587089.67000034
2022-05,Alentejo,4018011.400000002
2022-07,Algarve,4493067.16
2022-07,Centro,24816403.56
2024-07,Norte,77055542.47000024
2022-09,Alentejo,4492632.3800000055
2020-08,Alentejo,2966572.7
2021-05,Norte,42066984.87
2023-03,Centro,27654574.169999994
2023-05,Algarve,4854191.130000001
2023-08,Algarve,5174693.030000002
2024-09,Algarve,5775837.479999995
2023-11,Norte,57868228.20999984
2012-04,Algarve,3256811.21
2012-09,Lisboa e Vale do Tejo,37431674.52
2013-03,Lisboa e Vale do Tejo,40543094.49
2013-11,Centro,12863614.22
2013-12,Centro,13024903.03
2014-06,Centro,12940977.070000011
2014-10,Algarve,3224342.220000001
2015-01,Norte,28174716.94
2017-07,Centro,16263892.25999999
2017-08,Norte,36075144.48
2018-07,Centro,18208348.57
2018-10,Norte,40101606.81000001
2018-11,Norte,31488372.03
2020-08,Centro,18781301.84
2021-05,Algarve,4273569.24
2022-01,Norte,50655738.13000021
2022-07,Alentejo,3931870.869999993
2023-04,Lisboa e Vale do Tejo,66170693.930000044
2023-11,Lisboa e Vale do Tejo,76024054.1800004
2024-06,Lisboa e Vale do Tejo,81416462.20999967
2011-01,Norte,27976760.680000003
2011-10,Algarve,2916400.13
2011-12,Alentejo,2662510.56
2012-02,Lisboa e Vale do Tejo,39204672.260000005
2012-08,Norte,26140427.87
2013-01,Centro,14426059.35
2013-02,Norte,23700675.73
2013-11,Algarve,2544927.08
2013-11,Norte,24866523.55
2013-12,Alentejo,2491386.87
2013-12,Norte,20673018.64
2014-03,Centro,13458686.279999996
2015-05,Norte,29370326.17
2015-07,Alentejo,3952488.8200000008
2015-08,Algarve,4424362.09
2015-12,Centro,18629486.01
2016-02,Alentejo,2861776.9000000004
2016-07,Alentejo,3143869.37
2016-08,Norte,29281122.42
2016-09,Norte,31743506.37999999
2016-10,Norte,28186539.029999983
2017-01,Centro,17636017.689999998
2017-07,Lisboa e Vale do Tejo,49327305.06
2017-10,Algarve,3669857.86
2017-11,Norte,33950164.12999999
2018-03,Algarve,4606181.05
2018-08,Lisboa e Vale do Tejo,47562247.27
2018-12,Alentejo,3140732.71
2019-04,Alentejo,3075056.46
2020-11,Lisboa e Vale do Tejo,51220432.05
2011-06,Alentejo,2809763.96
2011-11,Norte,26323622.32
2012-02,Centro,13613446.789999995
2012-07,Centro,13918187.51
2012-11,Alentejo,2569867.54
2013-01,Norte,28347134.27
2014-08,Centro,12386263.71
2014-12,Norte,22292043.21
2015-07,Centro,19465103.98
2015-09,Centro,18604360.61
2017-01,Alentejo,3105928.789999999
2017-03,Centro,18937056.35
2017-11,Alentejo,3253939.85
2018-01,Norte,37963463.88
2018-04,Alentejo,3114230.93
2018-06,Alentejo,3251318.71
2018-07,Algarve,4093674.62
2018-10,Alentejo,3702143.93
2020-02,Alentejo,3049174.29
2020-02,Algarve,2848607.94
2020-07,Centro,21324526.5
2021-06,Norte,48033418.23
2021-09,Algarve,3856223.41
2022-01,Centro,22970877.020000134
2022-12,Alentejo,4166896.13
2023-09,Lisboa e Vale do Tejo,69359469.73000011
2024-02,Alentejo,4976812.870000001
2024-03,Alentejo,4887276.380000001
2024-09,Lisboa e Vale do Tejo,79888037.57999991
2024-11,Centro,34490900.28000005
2021-12,Algarve,1218684.94
2023-12,Norte,7282060.290000016
2024-09,Norte,67274891.85000013
2011-03,Centro,15249042.969999995
2011-06,Algarve,3413789.58
2011-08,Alentejo,2823826.9000000004
2012-07,Algarve,3088001.23
2013-02,Algarve,3178720.49
2013-09,Algarve,2823370.91
2013-09,Centro,13107715.99
2014-01,Alentejo,2685929.240000001
2014-05,Alentejo,2700013.84
2014-08,Algarve,2849857.2400000007
2015-10,Lisboa e Vale do Tejo,55871370.95
2016-02,Centro,17242992.78999999
2016-08,Algarve,4014491.91
2017-04,Alentejo,2887868.91
2017-04,Norte,30318596.529999997
2017-05,Alentejo,3264597.94
2017-06,Alentejo,2915571.99
2017-09,Alentejo,2882375.579999999
2018-11,Alentejo,3265662.83
2019-01,Algarve,4422843.3
2019-07,Alentejo,3345167.88
2020-02,Lisboa e Vale do Tejo,47760421.5
2020-05,Lisboa e Vale do Tejo,42651107.6
2021-08,Lisboa e Vale do Tejo,53604920.09
2021-09,Centro,22871838.32
2022-01,Algarve,4592208.139999998
2023-02,Lisboa e Vale do Tejo,66093459.86999992
2023-07,Lisboa e Vale do Tejo,72956896.55000012
2023-10,Centro,28738287.770000026
2024-03,Algarve,6048062.609999994
2011-10,Centro,13251299.320000002
2011-09,Lisboa e Vale do Tejo,39804256.88
2013-03,Centro,14028973.7
2013-06,Norte,22553237.45
2015-02,Centro,13167101.89000001
2017-12,Algarve,1586497.03
2020-05,Alentejo,2827419.91
2021-04,Lisboa e Vale do Tejo,52464232.28
2023-11,Algarve,4501448.929999999
2024-05,Alentejo,5653241.9300000165
2024-06,Algarve,5206600.500000006
2024-06,Norte,60680722.55000015
2024-07,Lisboa e Vale do Tejo,86478709.63000073
2011-05,Lisboa e Vale do Tejo,42187383.11
2012-05,Centro,15461896.76
2012-08,Algarve,3885766.68
2012-10,Algarve,3464123.25
2012-10,Norte,26421851.59
2012-12,Algarve,2247344.57
2013-06,Alentejo,2463379.61
2013-06,Lisboa e Vale do Tejo,34340572.120000005
2013-08,Norte,24007870.4
2014-10,Norte,27487539.439999983
2015-05,Algarve,3792582.35
2015-09,Lisboa e Vale do Tejo,52093581.43
2015-11,Alentejo,2635137.749999999
2016-08,Alentejo,3338475.69
2016-12,Algarve,2202455.63
2017-06,Algarve,3285929.1
2018-02,Algarve,4240636.46
2018-05,Norte,27674799.28000002
2020-01,Algarve,2966042.86
2020-01,Centro,20363799.17
2020-11,Algarve,1921814.6
2021-05,Centro,22575121.93
2021-11,Alentejo,4159941.19
2022-08,Algarve,4458194.480000002
2023-01,Lisboa e Vale do Tejo,69695494.37999994
2023-02,Algarve,4737036.659999996
2023-03,Lisboa e Vale do Tejo,75779401.05999984
2023-06,Lisboa e Vale do Tejo,73232521.66000041
2024-10,Centro,34953982.399999976
2024-11,Norte,71653612.80999987
2011-01,Lisboa e Vale do Tejo,39887622.36
2012-02,Norte,25546165.19
2013-03,Norte,26163924.25
2013-05,Lisboa e Vale do Tejo,40672905.46000001
2016-04,Alentejo,3267553.6500000013
2016-06,Algarve,2367989.48
2018-06,Lisboa e Vale do Tejo,46984225.38000001
2020-06,Norte,41424826.18
2020-08,Norte,43108953.22
2021-05,Alentejo,3530339.39
2022-12,Lisboa e Vale do Tejo,67280878.5400002
2023-02,Norte,55849276.49000014
2023-10,Algarve,3679799.630000001
2024-04,Algarve,4465996.870000001
2024-05,Norte,72196185.5200002
2024-06,Centro,30058752.82999995
2011-07,Alentejo,2676939.9
2011-10,Norte,26536575.160000004
2011-11,Lisboa e Vale do Tejo,41682966.04
2012-01,Alentejo,2934224.39
2012-05,Lisboa e Vale do Tejo,41921676.43
2012-10,Centro,15001663.160000002
2013-09,Lisboa e Vale do Tejo,34813325.11
2013-09,Norte,22529447.74000001
2014-04,Alentejo,2550727.0000000014
2014-05,Norte,25737917.760000013
2014-11,Centro,13160595.529999992
2014-11,Norte,22970187.63
2014-12,Alentejo,2829277.37
2015-03,Alentejo,2786330.22
2015-06,Norte,23686888.03
2015-12,Lisboa e Vale do Tejo,52307142.58
2016-01,Norte,33112388.90000001
2016-03,Algarve,3692987.69
2017-03,Alentejo,3431921.14
2018-05,Centro,18477261.39
2018-06,Algarve,4221540.18
2018-09,Alentejo,3034054.24
2020-03,Lisboa e Vale do Tejo,55518072.25
2021-07,Alentejo,3767850.26
2021-08,Algarve,4793998.94
2022-08,Norte,55008783.52
2022-11,Centro,27811447.209999934
2020-04,Alentejo,2937375.57
2020-07,Algarve,2735356.07
2021-08,Centro,21950182.83
2022-04,Norte,48516619.779999785
2023-01,Algarve,5661075.329999998
2011-08,Norte,25610461.17
2011-11,Algarve,2900624.76
2012-02,Alentejo,2727153.6700000004
2012-04,Alentejo,2651796.35
2013-02,Alentejo,2623681.52
2013-02,Centro,13243740.8
2013-06,Centro,12548937.3
2014-02,Norte,23981495.710000005
2014-03,Algarve,2994448.05
2014-03,Norte,20956551.280000005
2014-08,Norte,25217004.129999988
2015-02,Alentejo,2570498.469999999
2015-11,Norte,28900715.769999992
2016-02,Algarve,4147587.77
2016-02,Lisboa e Vale do Tejo,53305400.94
2016-05,Norte,28785991.26
2016-06,Lisboa e Vale do Tejo,51407261.45999999
2016-11,Centro,18799309.91
2017-06,Lisboa e Vale do Tejo,48232023.57
2017-07,Norte,33225621.579999983
2017-09,Lisboa e Vale do Tejo,48533284.91
2018-02,Alentejo,2862884.3599999994
2018-03,Lisboa e Vale do Tejo,49791424.76
2018-06,Centro,18481979.99
2018-12,Centro,15189862.09
2019-02,Algarve,4042951.32
2019-08,Algarve,3521525.24
2019-10,Norte,47784078.69
2020-02,Norte,38780489.87
2020-10,Algarve,2392467.22
2021-02,Centro,17997573.9
2021-10,Alentejo,3796665.29
2021-10,Algarve,3590586.1
2021-10,Norte,48157425.1
2021-11,Norte,50000742.13
2023-11,Alentejo,5115007.789999995
2024-10,Lisboa e Vale do Tejo,87820921.54999998
2021-03,Norte,52598238.3
2022-05,Centro,26238180.030000057
2011-12,Lisboa e Vale do Tejo,40608773.620000005
2012-03,Lisboa e Vale do Tejo,39581383.24000001
2011-02,Alentejo,2705067.0300000003
2012-06,Norte,24042345.32
2012-11,Centro,13754338.97
2013-07,Norte,24941066.91
2014-02,Alentejo,2536946.6099999985
2014-02,Algarve,2837748.9299999983
2015-03,Algarve,3171296.25
2015-07,Lisboa e Vale do Tejo,58968273.78
2015-11,Algarve,3534989.64
2016-01,Centro,16890559.28
2016-06,Norte,30186051.49000001
2016-08,Lisboa e Vale do Tejo,51775757.53
2016-12,Lisboa e Vale do Tejo,48559513.32
2017-01,Lisboa e Vale do Tejo,51852187.23
2018-04,Norte,38865123.469999984
2018-09,Norte,35894100.61
2019-03,Norte,36459754.16
2019-08,Centro,17710468.51
2019-09,Algarve,4034211.33
2020-01,Lisboa e Vale do Tejo,52902484.58
2020-01,Norte,45934167.68
2020-03,Centro,20996635.28
2020-06,Alentejo,3246375.05
2020-12,Centro,17344709.41
2021-03,Centro,21327842.98
2021-07,Centro,22657167.36
2021-09,Lisboa e Vale do Tejo,58141961.88
2022-01,Lisboa e Vale do Tejo,58812918.32000017
2022-03,Algarve,5334932.979999998
2022-03,Norte,56578597.30000015
2022-04,Algarve,4376874.579999997
2022-11,Lisboa e Vale do Tejo,65705590.12999988
2023-02,Alentejo,3956266.470000006
2023-07,Alentejo,4597918.599999997
2023-08,Alentejo,5007738.580000004
2024-01,Lisboa e Vale do Tejo,78166364.37000006
2024-02,Lisboa e Vale do Tejo,73590531.57000054
2024-03,Lisboa e Vale do Tejo,76778866.62999965
2024-12,Alentejo,4398480.139999998
2011-08,Lisboa e Vale do Tejo,39971260.99
2012-03,Algarve,2945164.75
2012-11,Algarve,3030918.06
2013-09,Alentejo,2555214.56
2013-12,Algarve,2874763.02
2014-04,Centro,13647513.109999994
2014-11,Alentejo,2490642.7799999984
2014-11,Algarve,3062561.350000001
2015-10,Algarve,91344.5500000004
